epoch,step,min,max,mean,std
1,10000,-0.0046689072623848915,0.004920712672173977,8.177315976354294e-06,0.00040132825961336493
2,20000,-0.013381519354879856,0.008742149919271469,8.933650678955019e-05,0.000753077503759414
3,30000,-0.011104688048362732,0.006533699110150337,-4.9467042117612436e-05,0.0007622361299581826
4,40000,-0.010040700435638428,0.011315377429127693,-5.017894727643579e-05,0.000861321808770299
5,50000,-0.011831087991595268,0.010187463834881783,2.378228964516893e-05,0.0008638502331450582
6,60000,-0.013549529016017914,0.01864628866314888,8.200980118999723e-06,0.0010941738728433847
7,70000,-0.024330206215381622,0.011286015622317791,3.5991284676129e-05,0.00147636653855443
8,80000,-0.009481117129325867,0.006774268113076687,2.053590833384078e-05,0.0006431817309930921
9,90000,-0.007901998236775398,0.004735113587230444,2.0239131117705256e-06,0.0005158966523595154
10,100000,-0.010819134302437305,0.009513525292277336,-4.41420306742657e-05,0.0007397190784104168
