epoch,step,min,max,mean,std
1,1000,-0.13358905911445618,0.18424496054649353,-0.0039010958280414343,0.014602425508201122
2,2000,-0.1509779840707779,0.21247711777687073,-0.003813391551375389,0.020019328221678734
3,3000,-0.17385730147361755,0.23018407821655273,-0.005544498562812805,0.022202853113412857
4,4000,-0.340110719203949,0.45463359355926514,-0.010279560461640358,0.045964401215314865
5,5000,-0.26674342155456543,0.31907030940055847,-0.011799097061157227,0.03552030399441719
6,6000,-0.37785661220550537,0.4299011826515198,-0.008173946291208267,0.047473326325416565
7,7000,-0.36165836453437805,0.4373686909675598,-0.00808785017579794,0.04516264796257019
8,8000,-0.35771921277046204,0.38716208934783936,-0.008916700258851051,0.04437073692679405
9,9000,-0.28842395544052124,0.3090693950653076,-0.008357072249054909,0.03683764487504959
10,10000,-0.5753486156463623,0.3741724193096161,-0.016728835180401802,0.06663987040519714
11,11000,-0.2947986423969269,0.32288482785224915,-0.003860628232359886,0.04344845563173294
12,12000,-0.2476879358291626,0.20958544313907623,-0.011497331783175468,0.03218711540102959
13,13000,-0.20268459618091583,0.3348753750324249,-0.0028305030427873135,0.02945774421095848
14,14000,-0.16540518403053284,0.1969505250453949,-0.004367216024547815,0.024082522839307785
15,15000,-0.21250905096530914,0.21832627058029175,-0.0018371210899204016,0.022781329229474068
16,16000,-0.08490545302629471,0.3042466640472412,0.003051699372008443,0.018758412450551987
17,17000,-2.1945643424987793,0.574241042137146,-0.0734827071428299,0.2634381949901581
18,18000,-0.6559863686561584,0.3219086825847626,-0.016440074890851974,0.06259804964065552
19,19000,-1.1539922952651978,3.543829917907715,0.09859263896942139,0.4063912332057953
20,20000,-1.515620231628418,0.22551216185092926,-0.05423813313245773,0.16803540289402008
