epoch,step,min,max,mean,std
1,1000,-0.9195986986160278,-0.9195986986160278,-0.9195986986160278,0.0
2,2000,-0.5924248695373535,-0.5924248695373535,-0.5924248695373535,0.0
3,3000,0.3331780433654785,0.3331780433654785,0.3331780433654785,0.0
4,4000,-0.2708508372306824,-0.2708508372306824,-0.2708508372306824,0.0
5,5000,-0.3913480341434479,-0.3913480341434479,-0.3913480341434479,0.0
6,6000,-0.7227779626846313,-0.7227779626846313,-0.7227779626846313,0.0
7,7000,-0.716218113899231,-0.716218113899231,-0.716218113899231,0.0
8,8000,-0.584542989730835,-0.584542989730835,-0.584542989730835,0.0
9,9000,-0.8777050971984863,-0.8777050971984863,-0.8777050971984863,0.0
10,10000,-0.888278067111969,-0.888278067111969,-0.888278067111969,0.0
11,11000,-0.3322129249572754,-0.3322129249572754,-0.3322129249572754,0.0
12,12000,-0.3189244270324707,-0.3189244270324707,-0.3189244270324707,0.0
13,13000,0.13883620500564575,0.13883620500564575,0.13883620500564575,0.0
14,14000,-0.35130593180656433,-0.35130593180656433,-0.35130593180656433,0.0
15,15000,-0.15809734165668488,-0.15809734165668488,-0.15809734165668488,0.0
16,16000,0.1497666835784912,0.1497666835784912,0.1497666835784912,0.0
17,17000,0.5050625205039978,0.5050625205039978,0.5050625205039978,0.0
18,18000,-1.7988805770874023,-1.7988805770874023,-1.7988805770874023,0.0
19,19000,0.2355029582977295,0.2355029582977295,0.2355029582977295,0.0
20,20000,0.30032098293304443,0.30032098293304443,0.30032098293304443,0.0
21,21000,-2.2374565601348877,-2.2374565601348877,-2.2374565601348877,0.0
22,22000,-0.6431745290756226,-0.6431745290756226,-0.6431745290756226,0.0
23,23000,-2.9244656562805176,-2.9244656562805176,-2.9244656562805176,0.0
24,24000,-0.670386552810669,-0.670386552810669,-0.670386552810669,0.0
25,25000,0.06054377555847168,0.06054377555847168,0.06054377555847168,0.0
26,26000,-1.0226892232894897,-1.0226892232894897,-1.0226892232894897,0.0
27,27000,-3.2633349895477295,-3.2633349895477295,-3.2633349895477295,0.0
28,28000,-1.013082504272461,-1.013082504272461,-1.013082504272461,0.0
29,29000,-2.4430429935455322,-2.4430429935455322,-2.4430429935455322,0.0
30,30000,1.000910758972168,1.000910758972168,1.000910758972168,0.0
31,31000,-4.200106620788574,-4.200106620788574,-4.200106620788574,0.0
32,32000,0.7109823226928711,0.7109823226928711,0.7109823226928711,0.0
33,33000,-1.2169008255004883,-1.2169008255004883,-1.2169008255004883,0.0
34,34000,0.6984372138977051,0.6984372138977051,0.6984372138977051,0.0
35,35000,1.9890096187591553,1.9890096187591553,1.9890096187591553,0.0
36,36000,-4.209105968475342,-4.209105968475342,-4.209105968475342,0.0
37,37000,7.987026214599609,7.987026214599609,7.987026214599609,0.0
38,38000,7.975225448608398,7.975225448608398,7.975225448608398,0.0
39,39000,0.649296760559082,0.649296760559082,0.649296760559082,0.0
40,40000,-22.24608612060547,-22.24608612060547,-22.24608612060547,0.0
41,41000,10.497692108154297,10.497692108154297,10.497692108154297,0.0
42,42000,9.184049606323242,9.184049606323242,9.184049606323242,0.0
43,43000,-12.676191329956055,-12.676191329956055,-12.676191329956055,0.0
44,44000,-12.378461837768555,-12.378461837768555,-12.378461837768555,0.0
45,45000,47.981895446777344,47.981895446777344,47.981895446777344,0.0
46,46000,77.00109100341797,77.00109100341797,77.00109100341797,0.0
