epoch,step,min,max,mean,std
1,10000,-1.103125810623169,1.8569798469543457,0.0027963039465248585,0.18041400611400604
2,20000,-2.0137858390808105,1.0547680854797363,0.00035303202457726,0.16445600986480713
3,30000,-2.0586299896240234,2.7091140747070312,0.0017058458179235458,0.34199413657188416
4,40000,-8.367798805236816,7.455732822418213,-0.010356957092881203,0.8637987375259399
5,50000,-16.86595344543457,21.395002365112305,0.04403216391801834,1.933975338935852
6,60000,-22.56601333618164,19.147932052612305,0.09691625088453293,2.6414005756378174
7,70000,-25.609153747558594,33.33637619018555,0.037681713700294495,3.142850399017334
8,80000,-17.054393768310547,23.90620994567871,-0.06267010420560837,2.8399558067321777
9,90000,-37.39595031738281,28.360889434814453,-0.057313960045576096,4.131267547607422
10,100000,-230.8006591796875,168.87033081054688,-0.31666386127471924,19.45829200744629
