"TOA5","303_IFF","CR300","7433","CR300.Std.06.00","CPU:Spargel_IFF_V1_05.CR300","690","LTZ"
"TIMESTAMP","RECORD","AirTC_Avg","RH_Avg","Rain_mm_Tot","SlrW_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","TB0cm_Avg","TB20cm_Avg","VWC20cm_Avg"
"TS","RN","Deg C","%","mm","W/m^2","meters/second","Deg","Deg","Deg C","Deg C","m^3/m^3"
"","","Avg","Avg","Tot","Avg","WVc","WVc","WVc","Avg","Avg","Avg"
"2022-01-01 00:00:00",61767,5.512,100,0,0.006,0.764,349.7,65.77,"NAN",8.03,0.158
"2022-01-01 00:10:00",61768,6.079,100,0,0.009,0.57,261.5,32.46,"NAN",8.03,0.158
"2022-01-01 00:20:00",61769,6.311,100,0,0.007,0.724,326.7,29.01,"NAN",8.01,0.158
"2022-01-01 00:30:00",61770,6.297,100,0,0.006,0.57,348.2,43.76,"NAN",8.01,0.158
"2022-01-01 00:40:00",61771,6.641,100,0,0.004,0.434,316.2,74.39,"NAN",7.996,0.158
"2022-01-01 00:50:00",61772,6.617,100,0,0.004,0.505,215.8,11.82,"NAN",7.989,0.158
"2022-01-01 01:00:00",61773,6.675,100,0,0.006,0.558,172,32.92,"NAN",7.974,0.158
"2022-01-01 01:10:00",61774,6.647,100,0,0.006,0.761,144.8,10.87,"NAN",7.969,0.157
"2022-01-01 01:20:00",61775,6.907,100,0,0.007,0.97,109.5,19.4,"NAN",7.959,0.157
"2022-01-01 01:30:00",61776,7.394,100,0,0.009,0.705,89,11.63,"NAN",7.946,0.157
"2022-01-01 01:40:00",61777,7.627,100,0,0.004,0.769,107.8,15.22,"NAN",7.936,0.157
"2022-01-01 01:50:00",61778,7.652,100,0,0.004,0.936,142.2,12.35,"NAN",7.926,0.157
"2022-01-01 02:00:00",61779,7.567,100,0,0.005,1.37,151.9,7.905,"NAN",7.916,0.157
"2022-01-01 02:10:00",61780,7.588,100,0,0.005,0.531,149,21.38,"NAN",7.906,0.157
"2022-01-01 02:20:00",61781,7.634,100,0,0.005,0.255,286.1,72.53,"NAN",7.899,0.157
"2022-01-01 02:30:00",61782,7.737,100,0,0.006,0.551,331.6,7.42,"NAN",7.887,0.157
"2022-01-01 02:40:00",61783,7.769,100,0,0.004,0.385,326.9,13.69,"NAN",7.877,0.157
"2022-01-01 02:50:00",61784,7.855,100,0.2,0.005,0.374,251.4,55.75,"NAN",7.87,0.157
"2022-01-01 03:00:00",61785,7.834,100,0,0.005,1.157,173.8,11.31,"NAN",7.864,0.157
"2022-01-01 03:10:00",61786,7.89,100,0,0.006,1.469,156.4,8.26,"NAN",7.854,0.157
"2022-01-01 03:20:00",61787,7.976,100,0,0.005,1.384,154,6.811,"NAN",7.848,0.157
"2022-01-01 03:30:00",61788,8.09,100,0,0.007,0.834,197.3,14.94,"NAN",7.842,0.157
"2022-01-01 03:40:00",61789,8.18,99.8,0,0.005,0.671,187.2,17.41,"NAN",7.833,0.157
"2022-01-01 03:50:00",61790,8.18,99,0,0.006,0.429,159.6,12.68,"NAN",7.828,0.157
"2022-01-01 04:00:00",61791,8.11,98.4,0,0.005,0.248,217.9,28.34,"NAN",7.823,0.157
"2022-01-01 04:10:00",61792,8,98.3,0,0.006,0.59,274.9,11.17,"NAN",7.821,0.157
"2022-01-01 04:20:00",61793,7.794,98.8,0,0.005,0.647,274.7,11.98,"NAN",7.809,0.157
"2022-01-01 04:30:00",61794,7.595,99.1,0,0.005,0.448,275.5,28.24,"NAN",7.805,0.157
"2022-01-01 04:40:00",61795,7.164,99.3,0,0.007,0.244,209.1,46.27,"NAN",7.805,0.157
"2022-01-01 04:50:00",61796,6.79,99.6,0,0.004,0.379,191,28.92,"NAN",7.801,0.157
"2022-01-01 05:00:00",61797,6.603,99.9,0,0.004,0.385,182.8,40.58,"NAN",7.794,0.156
"2022-01-01 05:10:00",61798,6.342,100,0,0.005,0.22,108.6,48.76,"NAN",7.789,0.156
"2022-01-01 05:20:00",61799,6.381,100,0,0.005,0.364,111.8,36.39,"NAN",7.789,0.156
