"TOA5","036_WAN","CR800","45590","CR800.Std.32.05","CPU:Acker_V2_72b.CR8","42956","LTZ"
"TIMESTAMP","RECORD","AirTC_Avg","RH_Avg","Rain_mm_Tot","SlrW_Avg","LWmV_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","T107_C_Avg","T107_C_SOIL_Avg","VWC_Avg","EC_Max","TB20_Avg","WS_ms_Max"
"TS","RN","Deg C","%","mm","W/m^2","mV","meters/second","Deg","Deg","Deg C","","l/l","dS/m","","meters/second"
"","","Avg","Avg","Tot","Avg","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Max","Avg","Max"
"2024-01-01 00:00:00",28758,3.769,93.4,0,0.078,267.5,1.01,267.4,17.26,"NAN","NAN","NAN",0,0,2.17
"2024-01-01 13:30:00",	28839,	7.546,	74.22,	0,	114.8,	264.8,	2.272,	281.4,	19.12,	"NAN",	"NAN",	"NAN",	0,	0,	5.49
"2024-01-01 13:40:00",	28840,	6.77,	80.6,	0,	88.7,	265.3,	2.402,	297.4,	23.08,	"NAN",	"NAN",	"NAN",	0,	0,	6.24
"2024-01-01 13:50:00",	28841,	5.583,	86.4,	0,	46.82,	266,	2.635,	292.6,	21.47,	"NAN",	"NAN",	"NAN",	0,	0,	5.7
"2024-01-01 14:00:00",	28842,	5.221,	89.7,	0.2,	105,	266.5,	2.99,	279.4,	15.32,	"NAN",	"NAN",	"NAN",	0,	0,	5.78,XXXX,XXXX,XXXX,XXXX,
"2024-01-01 14:10:00",	28843,	5.662,	91.2,	0,	291.9,	266.7,	1.885,	274,	17.5,	"NAN",	"NAN",	"NAN",	0,	0,	4.73
"2024-01-01 14:20:00",	28844,	6.481,	87.6,	0,	236.9,	266.1,	1.7,	257.8,	23.56,	"NAN",	"NAN",	"NAN",	0,	0,	3.87
"2024-01-01 14:30:00",	28845,	6.634,	83.8,	0,	215.7,	266.2,	2.475,	267.9,	17.25,	"NAN",	"NAN",	"NAN",	0,	0,	5.69
"2024-01-01 14:40:00",	28846,	6.39,	83.6,	0,	161.9,	266.2,	2.462,	279.6,	15.33,	"NAN",	"NAN",	"NAN",	0,	0,	4.71
"2024-01-01 14:50:00",	28847,	6.639,	84.1,	0,	151,	266.2,	1.437,	263,	18.9,	"NAN",	"NAN",	"NAN",	0,	0,	3.09
"2024-01-01 15:00:00",	28848,	6.454,	84.3,	0,	117,	266.2,	1.886,	265.2,	17.36,	"NAN",	"NAN",	"NAN",	0,	0,	3.62
"2024-01-01 15:10:00",	28849,	6.374,	84.1,	0,	119.7,	266.2,	1.648,	275.7,	19.47,	"NAN",	"NAN",	"NAN",	0,	0,	3.76
"2024-01-01 15:20:00",	28850,	6.329,	84,	0,	78.93,	266.2,	1.372,	284.5,	19.68,	"NAN",	"NAN",	"NAN",	0,	0,	2.8
"2024-01-01 15:30:00",	28851,	6.273,	84,	0,	61.59,	266.2,	1.756,	273.1,	22.7,	"NAN",	"NAN",	"NAN",	0,	0,	3.96
"2024-01-01 15:40:00",	28852,	6.116,	84.8,	0,	44.52,	266.2,	1.564,	271.1,	12.61,	"NAN",	"NAN",	"NAN",	0,	0,	3.35
"2024-01-01 15:50:00",	28853,	5.846,	86.5,	0,	29.48,	266.2,	1.561,	270.7,	16.41,	"NAN",	"NAN",	"NAN",	0,	0,	3.03
"2024-01-01 16:00:00",	28854,	5.828,	87.2,	0,	23.03,	266.2,	1.743,	272,	18.41,	"NAN",	"NAN",	"NAN",	0,	0,	3.99
"2024-01-01 16:10:00",	28855,	5.879,	87.4,	0,	24.69,	266.2,	1.126,	264.9,	20.87,	"NAN",	"NAN",	"NAN",	0,	0,	3.28
"2024-01-01 16:20:00",	28856,	6.021,	87.4,	0,	40.16,	266.2,	1.213,	260.7,	20.11,	"NAN",	"NAN",	"NAN",	0,	0,	2.18
"2024-01-01 16:30:00",	28857,	5.989,	87,	0,	25.42,	266.2,	1.194,	252.4,	23.16,	"NAN",	"NAN",	"NAN",	0,	0,	1.93
"2024-01-01 16:40:00",	28858,	5.559,	88.6,	0,	11.6,	266.2,	1.096,	252.3,	14,	"NAN",	"NAN",	"NAN",	0,	0,	1.98
"2024-01-01 16:50:00",	28859,	5.317,	89.2,	0,	5.525,	266.2,	1.306,	253.9,	11.56,	"NAN",	"NAN",	"NAN",	0,	0,	1.99
"2024-01-01 17:00:00",	28860,	5.238,	89.1,	0,	1.444,	266.2,	1.405,	256.2,	9.73,	"NAN",	"NAN",	"NAN",	0,	0,	2.09
"2024-01-01 17:10:00",	28861,	5.228,	89.2,	0,	0.366,	266.2,	1.615,	252.9,	9.75,	"NAN",	"NAN",	"NAN",	0,	0,	2.97
"2024-01-01 17:20:00",	28862,	5.058,	89.7,	0,	0.072,	266.2,	1.155,	263.8,	8.53,	"NAN",	"NAN",	"NAN",	0,	0,	1.73
