1,1000,-3.438288802266121
2,2000,-5.9795116219520565
3,3000,-7.9693674411773685
4,4000,-10.542808732986451
5,5000,-13.6671019449234
6,6000,-16.622678992271425
7,7000,-19.228200050354005
8,8000,-21.54108569908142
9,9000,-23.75276589202881
10,10000,-26.034787893295288
11,11000,-28.410196882247924
12,12000,-30.960121131896972
13,13000,-34.053024759292605
14,14000,-37.5355565032959
15,15000,-41.47883207702637
16,16000,-46.28423413467407
17,17000,-52.149319633483884
18,18000,-58.99183955001831
19,19000,-66.70324535751342
20,20000,-75.17790339660644
