epoch,step,min,max,mean,std
1,1000,0.03881566971540451,0.03881566971540451,0.03881566971540451,0.0
2,2000,0.20496441423892975,0.20496441423892975,0.20496441423892975,0.0
3,3000,-0.15392205119132996,-0.15392205119132996,-0.15392205119132996,0.0
4,4000,-0.09471017122268677,-0.09471017122268677,-0.09471017122268677,0.0
5,5000,-0.02519978955388069,-0.02519978955388069,-0.02519978955388069,0.0
6,6000,0.005672399885952473,0.005672399885952473,0.005672399885952473,0.0
7,7000,-0.013352615758776665,-0.013352615758776665,-0.013352615758776665,0.0
8,8000,-0.00318756140768528,-0.00318756140768528,-0.00318756140768528,0.0
9,9000,-0.05097050592303276,-0.05097050592303276,-0.05097050592303276,0.0
10,10000,-0.04105693846940994,-0.04105693846940994,-0.04105693846940994,0.0
11,11000,0.02741093933582306,0.02741093933582306,0.02741093933582306,0.0
12,12000,-0.02559996023774147,-0.02559996023774147,-0.02559996023774147,0.0
13,13000,0.005305718630552292,0.005305718630552292,0.005305718630552292,0.0
14,14000,-0.030458195134997368,-0.030458195134997368,-0.030458195134997368,0.0
15,15000,-0.0778970867395401,-0.0778970867395401,-0.0778970867395401,0.0
16,16000,-0.04066767916083336,-0.04066767916083336,-0.04066767916083336,0.0
17,17000,-0.042642511427402496,-0.042642511427402496,-0.042642511427402496,0.0
18,18000,-0.04795139655470848,-0.04795139655470848,-0.04795139655470848,0.0
19,19000,-0.022664252668619156,-0.022664252668619156,-0.022664252668619156,0.0
20,20000,1.130570411682129,1.130570411682129,1.130570411682129,0.0
