epoch,step,min,max,mean,std
1,10000,-0.48026958107948303,0.7943828105926514,0.00408098055049777,0.11074452847242355
2,20000,-0.1077808141708374,0.3222774267196655,0.0045926496386528015,0.04587283730506897
3,30000,-0.46308064460754395,0.7175317406654358,0.0002093571238219738,0.14583183825016022
4,40000,-0.30572158098220825,0.6841423511505127,0.0022488406393676996,0.07842981070280075
5,50000,-0.7216328382492065,0.5301840305328369,0.006622295826673508,0.07452942430973053
6,60000,-0.24060708284378052,0.5676693916320801,0.0047210101038217545,0.08101102709770203
7,70000,-0.4874401390552521,0.5860395431518555,-0.004141367506235838,0.09423373639583588
8,80000,-0.43221572041511536,0.38151854276657104,-0.004191459156572819,0.07660786062479019
9,90000,-2.18050479888916,2.360203504562378,0.007465742062777281,0.3014358878135681
10,100000,-0.7499381303787231,0.7032024264335632,-0.00433189095929265,0.12013742327690125
