epoch,step,min,max,mean,std
1,10000,-0.7363346815109253,0.6137034893035889,-0.0006844801246188581,0.0668712854385376
2,20000,-0.30479681491851807,0.2531566023826599,-0.0005041375989094377,0.02984578348696232
3,30000,-0.6669525504112244,0.5891674757003784,-0.0005492399213835597,0.0866050124168396
4,40000,-0.5227072238922119,0.4891670346260071,-0.00012640083150472492,0.04250992462038994
5,50000,-0.5085974931716919,0.5697834491729736,-0.0010057311737909913,0.04676121473312378
6,60000,-0.5121141672134399,0.4353727698326111,-0.0007947062840685248,0.052629631012678146
7,70000,-0.5779277086257935,0.47692736983299255,0.0008331347489729524,0.0609864741563797
8,80000,-0.3684172034263611,0.32336848974227905,0.00016751459043007344,0.04814911261200905
9,90000,-2.3394222259521484,2.3514480590820312,-0.0024043333251029253,0.2211655229330063
10,100000,-0.7733286023139954,0.7498633861541748,8.3929393440485e-05,0.08674127608537674
