epoch,step,min,max,mean,std
1,10000,-0.0852387398481369,-0.0852387398481369,-0.0852387398481369,0.0
2,20000,0.005264054983854294,0.005264054983854294,0.005264054983854294,0.0
3,30000,-0.7314411997795105,-0.7314411997795105,-0.7314411997795105,0.0
4,40000,0.1629258394241333,0.1629258394241333,0.1629258394241333,0.0
5,50000,-1.6184388399124146,-1.6184388399124146,-1.6184388399124146,0.0
6,60000,-1.2248624563217163,-1.2248624563217163,-1.2248624563217163,0.0
7,70000,0.4830751419067383,0.4830751419067383,0.4830751419067383,0.0
8,80000,5.386523246765137,5.386523246765137,5.386523246765137,0.0
9,90000,10.338714599609375,10.338714599609375,10.338714599609375,0.0
10,100000,11.597051620483398,11.597051620483398,11.597051620483398,0.0
