epoch,step,min,max,mean,std
1,10000,-0.10699289292097092,0.03268791362643242,-0.019875410944223404,0.027456462383270264
2,20000,-2.176266670227051,6.276575088500977,0.5013391971588135,1.3805984258651733
3,30000,-306.49798583984375,6.1282196044921875,-31.620059967041016,67.75357055664062
4,40000,-8.504555702209473,2033.8990478515625,220.85427856445312,491.0151062011719
5,50000,-14045.27734375,145.00872802734375,-1513.866943359375,3399.49462890625
6,60000,0.0,28353.01953125,3154.42919921875,7186.1416015625
7,70000,-43.02153015136719,12617.392578125,1396.1009521484375,3218.76025390625
8,80000,-3379.91796875,51125.5625,5181.546875,12131.931640625
9,90000,-184488.984375,2859.39013671875,-18242.99609375,43777.9453125
10,100000,-123232.0859375,0.0,-11511.720703125,28016.740234375
