233,930.0,0.0,32.95,45.9,0.28326,0.0,200.0,-0.22628334623897772
233,940.0,10.0,33.53,44.75,0.55242,1.2083983423672844,190.0,-0.22628334623897772
233,950.0,20.0,33.58,43.87,0.8004,1.55365501161508,180.0,-0.22628334623897772
233,960.0,30.0,33.2,44.43,1.0359,1.7262833462389777,170.0,-0.22628334623897772
233,970.0,40.0,33.93,42.96,1.25628,1.7262833462389777,160.0,-0.22628334623897772
233,980.0,50.0,33.32,43.54,1.4580000000000002,1.7262833462389777,150.0,-0.22628334623897772
233,990.0,60.0,33.2,44.08,1.6506000000000003,1.7262833462389777,140.0,-0.22628334623897772
233,1000.0,70.0,33.82,42.62,1.8292200000000003,1.7262833462389777,130.0,-0.22628334623897772
233,1010.0,80.0,33.51,41.89,1.9898400000000003,1.7262833462389777,120.0,-0.22628334623897772
233,1020.0,90.0,33.13,42.97,2.1337200000000003,1.7262833462389777,110.0,-0.22628334623897772
233,1030.0,100.0,33.41,43.86,2.2635000000000005,1.7262833462389777,100.0,-0.22628334623897772
233,1040.0,110.0,32.95,42.05,2.3761800000000006,1.7262833462389777,90.0,-0.22628334623897772
233,1050.0,120.0,32.43,41.21,2.4650400000000006,1.7262833462389777,80.0,-0.22628334623897772
233,1060.0,130.0,32.48,42.11,2.5507200000000005,1.7262833462389777,70.0,-0.22628334623897772
233,1070.0,140.0,32.68,44.21,2.6253600000000006,1.7262833462389777,60.0,-0.22628334623897772
233,1080.0,150.0,32.16,45.22,2.6881200000000005,1.7262833462389777,50.0,-0.22628334623897772
233,1090.0,160.0,31.38,46.21,2.7397800000000005,1.7262833462389777,40.0,-0.22628334623897772
233,1100.0,170.0,30.96,46.97,2.7817200000000004,1.7262833462389777,30.0,-0.22628334623897772
233,1110.0,180.0,30.72,47.14,2.8142340000000003,1.7262833462389777,20.0,-0.22628334623897772
233,1120.0,190.0,30.53,53.5,2.8384800000000006,1.7262833462389777,10.0,-0.22628334623897772
233,1130.0,200.0,29.2,60.79,2.8555080000000004,1.7262833462389777,0.0,-0.22628334623897772
