epoch,step,min,max,mean,std
1,10000,-0.09700489044189453,0.08666359633207321,-0.0003044493787456304,0.006609626114368439
2,20000,-0.47541335225105286,0.28388819098472595,0.001294205547310412,0.02588597871363163
3,30000,-0.40101540088653564,0.7870281934738159,-0.0019866852089762688,0.03676849231123924
4,40000,-0.8638663291931152,1.188905119895935,0.008993096649646759,0.09580328315496445
5,50000,-1.1736656427383423,0.8367612361907959,-0.00025343598099425435,0.07517518103122711
6,60000,-1.340075969696045,1.6280791759490967,0.017080165445804596,0.12320926785469055
7,70000,-4.711340427398682,11.887548446655273,0.045875538140535355,0.49361833930015564
8,80000,-29.653316497802734,23.396156311035156,-0.02961009368300438,1.9917707443237305
9,90000,-26.625900268554688,39.423057556152344,0.11555347591638565,2.118011951446533
10,100000,-228.46890258789062,195.69937133789062,0.43934351205825806,16.36760902404785
